NAME,GEOGRAPHY,CONTROL,SUMMARY
TAZ - Total Households,TAZ,num_hh_control,num_hh_result
TAZ - Household Size: 1 person HH,TAZ,hh_size_1_control,hh_size_1_result
TAZ - Household Size: 2 person HH,TAZ,hh_size_2_control,hh_size_2_result
TAZ - Household Size: 3 person HH,TAZ,hh_size_3_control,hh_size_3_result
TAZ - Household Size: 4+ person HH,TAZ,hh_size_4_plus_control,hh_size_4_plus_result
TAZ - Householder Age: 15-24 years,TAZ,hh_age_15_24_control,hh_age_15_24_result
TAZ - Householder Age: 25-54 years,TAZ,hh_age_25_54_control,hh_age_25_54_result
TAZ - Householder Age: 55-64 years,TAZ,hh_age_55_64_control,hh_age_55_64_result
TAZ - Householder Age: >65 years,TAZ,hh_age_65_plus_control,hh_age_65_plus_result
"TAZ - Household Income: (-Inf,21297)",TAZ,hh_inc_15_control,hh_inc_15_result
"TAZ - Household Income: [21297,42593)",TAZ,hh_inc_15_30_control,hh_inc_15_30_result
"TAZ - Household Income: [42593,85185)",TAZ,hh_inc_30_60_control,hh_inc_30_60_result
"TAZ - Household Income: [85185,+Inf)",TAZ,hh_inc_60_plus_control,hh_inc_60_plus_result
TAZ - Students by family,TAZ,students_by_family_housing_type_control,students_by_family_housing_type_result
TAZ - Students by non-family,TAZ,students_by_nonfamily_housing_type_control,students_by_nonfamily_housing_type_result
TRACT - SF,TRACT,hh_by_type_sf_control,hh_by_type_sf_result
TRACT - MF,TRACT,hh_by_type_mf_control,hh_by_type_mf_result
TRACT - MH,TRACT,hh_by_type_mh_control,hh_by_type_mh_result
TRACT - Dup,TRACT,hh_by_type_dup_control,hh_by_type_dup_result
TRACT - Household Workers: 0 worker HH,TRACT,hh_wrks_0_control,hh_wrks_0_result
TRACT - Household Workers: 1 worker HH,TRACT,hh_wrks_1_control,hh_wrks_1_result
TRACT - Household Workers: 2 worker HH,TRACT,hh_wrks_2_control,hh_wrks_2_result
TRACT - Household Workers: 3+ worker HH,TRACT,hh_wrks_3_plus_control,hh_wrks_3_plus_result
REGION - Occupation Type 1,REGION,persons_occ_1_control,persons_occ_1_result
REGION - Occupation Type 2,REGION,persons_occ_2_control,persons_occ_2_result
REGION - Occupation Type 3,REGION,persons_occ_3_control,persons_occ_3_result
REGION - Occupation Type 4,REGION,persons_occ_4_control,persons_occ_4_result
REGION - Occupation Type 5,REGION,persons_occ_5_control,persons_occ_5_result
REGION - Occupation Type 6,REGION,persons_occ_6_control,persons_occ_6_result
REGION - Occupation Type 7,REGION,persons_occ_7_control,persons_occ_7_result
REGION - Occupation Type 8,REGION,persons_occ_8_control,persons_occ_8_result
