hh_id,perid,household_serial_no,pnum,age,sex,miltary,pemploy,pstudent,ptype,educ,grade,occen5,occsoc5,indcen,weeks,hours,rac1p,hisp,version,timeFactorWork,timeFactorNonWork,SampleRate
603391,1625131,0,1,59,2,0,1,3,1,9,0,0,41-1011,0,1,35,6,1,0,0.31,0.36,1.0
603391,1625132,0,2,65,1,0,3,3,5,13,0,0,11-1021,0,5,0,1,1,0,1.8,1.72,1.0
603392,1625133,0,1,34,2,0,1,3,1,1,0,0,31-1010,0,1,35,1,1,0,0.66,0.71,1.0
603392,1625134,0,2,42,1,0,1,3,1,13,0,0,11-1021,0,1,35,1,1,0,0.65,0.7,1.0
603393,1625135,0,1,38,1,0,2,3,2,9,0,0,31-1010,0,1,0,1,1,0,0.48,0.54,1.0
603393,1625136,0,2,47,2,0,1,3,1,9,0,0,11-1021,0,1,35,1,1,0,0.39,0.45,1.0
603394,1625137,0,1,32,2,0,1,3,1,13,0,0,11-1021,0,1,35,1,2,0,0.78,0.82,1.0
603394,1625138,0,2,43,1,0,1,3,1,1,0,0,31-1010,0,1,35,1,2,0,0.41,0.47,1.0
603395,1625139,0,1,64,2,0,3,3,4,1,0,0,00-0000,0,5,0,1,1,0,2.57,2.34,1.0
603395,1625140,0,2,49,1,0,3,3,4,9,0,0,11-1021,0,5,0,1,1,0,0.37,0.43,1.0
603396,1625141,0,1,19,1,0,1,2,1,9,6,0,41-1011,0,1,35,8,2,0,1.42,1.39,1.0
603396,1625142,0,2,64,2,0,3,3,4,9,0,0,00-0000,0,5,0,8,2,0,0.3,0.35,1.0
603396,1625143,0,3,77,1,0,3,3,5,9,0,0,00-0000,0,5,0,1,2,0,0.53,0.59,1.0
603397,1625144,0,1,13,1,0,4,3,7,1,0,0,00-0000,0,5,0,8,2,0,2.18,2.03,1.0
603397,1625145,0,2,43,1,0,1,3,1,13,0,0,11-1021,0,1,35,1,2,0,1.34,1.32,1.0
603397,1625146,0,3,49,2,0,1,3,1,13,0,0,11-1021,0,1,35,8,2,0,0.5,0.56,1.0
603398,1625147,0,1,8,1,0,4,1,7,1,2,0,00-0000,0,5,0,1,2,0,0.57,0.62,1.0
603398,1625148,0,2,6,2,0,4,1,7,1,2,0,00-0000,0,5,0,1,2,0,0.95,0.98,1.0
603398,1625149,0,3,36,2,0,3,3,4,1,0,0,00-0000,0,5,0,1,2,0,1.51,1.47,1.0
603398,1625150,0,4,4,2,0,4,3,8,1,0,0,00-0000,0,5,0,1,2,0,0.77,0.81,1.0
603399,1625151,0,1,41,1,0,3,3,4,9,0,0,45-1010,0,5,0,1,1,0,1.85,1.75,1.0
603400,1625152,0,1,57,1,0,3,3,4,1,0,0,00-0000,0,5,0,1,1,0,8.55,6.73,1.0
603401,1625153,0,1,60,2,0,3,3,4,1,0,0,00-0000,0,5,0,1,1,0,0.22,0.27,1.0
603402,1625154,0,1,30,1,0,2,3,2,13,0,0,41-1011,0,1,0,1,1,0,0.98,1.0,1.0
603402,1625155,0,2,31,2,0,1,3,1,13,0,0,11-1021,0,1,35,1,1,0,2.43,2.22,1.0
603402,1625156,0,3,5,1,0,4,1,8,1,2,0,00-0000,0,5,0,1,1,0,0.21,0.26,1.0
603402,1625157,0,4,0,2,0,4,3,8,1,0,0,00-0000,0,5,0,1,1,0,0.44,0.5,1.0
603403,1625158,0,1,31,2,0,1,3,1,13,0,0,11-1021,0,1,35,1,1,0,0.46,0.51,1.0
603403,1625159,0,2,39,1,0,1,3,1,9,0,0,41-1011,0,1,35,1,1,0,1.84,1.74,1.0
603403,1625160,0,3,3,2,0,4,3,8,1,0,0,00-0000,0,5,0,1,1,0,0.98,1.01,1.0
603404,1625161,0,1,5,1,0,4,1,8,1,2,0,00-0000,0,5,0,1,2,0,0.5,0.55,1.0
603404,1625162,0,2,5,1,0,4,1,8,1,2,0,00-0000,0,5,0,8,2,0,0.48,0.54,1.0
603404,1625163,0,3,7,1,0,4,1,7,1,2,0,00-0000,0,5,0,2,2,0,1.13,1.14,1.0
603404,1625164,0,4,16,1,0,3,1,6,1,5,0,00-0000,0,5,0,1,2,0,0.55,0.6,1.0
603404,1625165,0,5,17,2,0,3,1,6,1,5,0,00-0000,0,5,0,8,2,0,0.35,0.41,1.0
603404,1625166,0,6,20,2,0,2,2,3,9,6,0,41-1011,0,5,0,8,2,0,0.86,0.89,1.0
603404,1625167,0,7,21,1,0,3,3,4,1,0,0,31-1010,0,5,0,8,2,0,1.8,1.71,1.0
603404,1625168,0,8,39,1,0,1,3,1,9,0,0,11-1021,0,1,35,1,2,0,1.01,1.03,1.0
603405,1625169,0,1,45,1,0,2,3,2,13,0,0,11-1021,0,1,0,1,2,0,2.18,2.03,1.0
603405,1625170,0,2,65,2,0,2,3,2,13,0,0,41-1011,0,1,0,1,2,0,0.69,0.74,1.0
603406,1625171,0,1,16,1,0,3,1,6,1,5,0,00-0000,0,5,0,1,2,0,0.89,0.92,1.0
603406,1625172,0,2,16,1,0,3,1,6,1,5,0,00-0000,0,5,0,8,2,0,0.62,0.67,1.0
603406,1625173,0,3,22,1,0,2,3,2,9,0,0,41-1011,0,1,0,8,2,0,0.81,0.85,1.0
603406,1625174,0,4,22,1,0,1,2,1,9,6,0,11-1021,0,1,35,1,2,0,1.32,1.3,1.0
603406,1625175,0,5,50,2,0,2,3,2,9,0,0,11-1021,0,1,0,1,2,0,1.35,1.33,1.0
603406,1625176,0,6,68,1,0,3,3,5,9,0,0,11-1021,0,5,0,1,2,0,0.79,0.83,1.0
603407,1625177,0,1,79,2,0,3,3,5,1,0,0,00-0000,0,5,0,1,2,0,0.75,0.79,1.0
603408,1625178,0,1,71,1,0,3,3,5,13,0,0,00-0000,0,5,0,1,1,0,0.67,0.72,1.0
603408,1625179,0,2,90,2,0,3,3,5,9,0,0,00-0000,0,5,0,1,1,0,0.82,0.85,1.0
